k,zip_code,county,market_tier,region_bucket,urban_core_flag,actual_price,predicted_price,error_pct,confidence_score,status
3,75189,rockwall,mid,dfw,0,321252.0,318262.93,0.93,0.84,OK
3,75201,dallas,premium,dfw,1,973261.0,198194.89,79.64,0.06,OK
3,75202,dallas,mid,dfw,1,271763.0,277187.25,2.0,0.42,OK
3,75203,dallas,mid,dfw,0,197953.0,192418.29,2.8,0.81,OK
3,75204,dallas,high,dfw,1,498072.0,439426.58,11.77,0.59,OK
3,75205,dallas,ultra_luxury,dfw,0,2040006.0,510326.93,74.98,0.06,OK
3,75206,dallas,high,dfw,1,594522.0,527272.03,11.31,0.34,OK
3,75208,dallas,high,dfw,0,414723.0,533374.64,28.61,0.82,OK
3,75209,dallas,premium,dfw,0,1029935.0,812307.85,21.13,0.7,OK
3,75210,dallas,low,dfw,0,140039.0,176252.17,25.86,0.88,OK
3,75211,dallas,mid,dfw,0,223482.0,250978.17,12.3,0.88,OK
3,75212,dallas,mid,dfw,0,242126.0,253889.88,4.86,0.87,OK
3,75214,dallas,premium,dfw,0,817109.0,857476.76,4.94,0.64,OK
3,75215,dallas,low,dfw,0,168945.0,192850.15,14.15,0.91,OK
3,75216,dallas,low,dfw,0,168872.0,187159.71,10.83,0.87,OK
3,75217,dallas,mid,dfw,0,193431.0,250213.08,29.36,0.57,OK
3,75218,dallas,high,dfw,0,542917.0,509855.99,6.09,0.81,OK
3,75219,dallas,high,dfw,1,415914.0,453517.39,9.04,0.55,OK
3,75220,dallas,high,dfw,0,509877.0,524478.28,2.86,0.81,OK
3,75223,dallas,mid,dfw,0,246974.0,250598.82,1.47,0.87,OK
3,75224,dallas,mid,dfw,0,226508.0,256247.77,13.13,0.87,OK
3,75225,dallas,ultra_luxury,dfw,0,2041273.0,510010.18,75.02,0.06,OK
3,75226,dallas,mid,dfw,0,297673.0,329179.12,10.58,0.84,OK
3,75227,dallas,mid,dfw,0,221626.0,250984.02,13.25,0.88,OK
3,75228,dallas,mid,dfw,0,275060.0,270962.33,1.49,0.79,OK
3,75229,dallas,high,dfw,0,721401.0,461691.39,36.0,0.86,OK
3,75230,dallas,premium,dfw,0,1050710.0,808583.91,23.04,0.71,OK
3,75231,dallas,mid,dfw,0,295098.0,331010.99,12.17,0.85,OK
3,75232,dallas,mid,dfw,0,234086.0,285706.23,22.05,0.87,OK
3,75233,dallas,mid,dfw,0,285904.0,334335.39,16.94,0.88,OK
3,75234,dallas,mid,dfw,0,354708.0,300299.35,15.34,0.87,OK
3,75235,dallas,mid,dfw,0,270399.0,305069.75,12.82,0.81,OK
3,75236,dallas,mid,dfw,0,275787.0,328994.69,19.29,0.82,OK
3,75237,dallas,mid,dfw,0,263574.0,259055.24,1.71,0.73,OK
3,75238,dallas,high,dfw,0,617033.0,523760.63,15.12,0.81,OK
3,75240,dallas,high,dfw,0,400253.0,533471.55,33.28,0.82,OK
3,75241,dallas,mid,dfw,0,208947.0,240811.9,15.25,0.87,OK
3,75243,dallas,mid,dfw,0,297370.0,252279.09,15.16,0.81,OK
3,75244,dallas,high,dfw,0,701310.0,523196.22,25.4,0.81,OK
3,75246,dallas,mid,dfw,0,365770.0,300264.45,17.91,0.87,OK
3,75248,dallas,high,dfw,0,609353.0,493324.66,19.04,0.84,OK
3,75249,dallas,mid,dfw,0,286116.0,317887.29,11.1,0.85,OK
3,75252,dallas,high,dfw,0,606462.0,493344.02,18.65,0.84,OK
3,75253,dallas,mid,dfw,0,259245.0,318105.67,22.7,0.86,OK
3,75254,dallas,mid,dfw,0,301010.0,279648.79,7.1,0.87,OK
3,75287,dallas,high,dfw,0,462654.0,533053.64,15.22,0.82,OK
3,75401,hunt,mid,dfw,0,197230.0,215240.01,9.13,0.85,OK
3,75402,hunt,mid,dfw,0,266358.0,258666.26,2.89,0.73,OK
3,75407,collin,mid,dfw,0,295207.0,325172.24,10.15,0.84,OK
3,75409,collin,mid,dfw,0,347077.0,348035.05,0.28,0.89,OK
3,75410,rains,mid,dfw,0,311408.0,313902.16,0.8,0.78,OK
3,75411,lamar,mid,dfw,0,264300.0,258916.85,2.04,0.85,OK
3,75413,fannin,mid,dfw,0,194039.0,200237.55,3.19,0.8,OK
3,75414,grayson,mid,dfw,0,357104.0,304164.13,14.82,0.82,OK
3,75416,lamar,mid,dfw,0,227451.0,256177.94,12.63,0.88,OK
3,75417,red river,mid,dfw,0,192623.0,201007.37,4.35,0.87,OK
3,75418,fannin,mid,dfw,0,228406.0,266638.26,16.74,0.85,OK
3,75420,hopkins,mid,dfw,0,322011.0,248805.04,22.73,0.84,OK
3,75421,lamar,mid,dfw,0,232814.0,251940.88,8.22,0.86,OK
3,75422,hunt,mid,dfw,0,350438.0,292858.64,16.43,0.8,OK
3,75423,hunt,mid,dfw,0,357562.0,257878.55,27.88,0.84,OK
3,75424,collin,high,dfw,0,438766.0,483473.68,10.19,0.85,OK
3,75426,red river,low,dfw,0,143887.0,169223.15,17.61,0.83,OK
3,75428,hunt,mid,dfw,0,207284.0,237699.8,14.67,0.83,OK
3,75431,hopkins,mid,dfw,0,265340.0,326688.99,23.12,0.85,OK
3,75432,delta,low,dfw,0,174036.0,179682.57,3.24,0.86,OK
3,75433,hopkins,mid,dfw,0,296398.0,335327.83,13.13,0.84,OK
3,75435,lamar,low,dfw,0,165361.0,186535.14,12.8,0.9,OK
3,75436,red river,mid,dfw,0,239428.0,258940.8,8.15,0.82,OK
3,75437,hopkins,mid,dfw,0,344418.0,280726.08,18.49,0.84,OK
