zip_code,county,latitude,longitude,avg_property_value,median_income,median_rent,population_change_pct,owner_share_pct,zhvi_1y_change_pct,zhvi_5y_change_pct,price_to_rent_ratio,listing_count,average_sqft,market_tier,region_bucket,urban_core_flag
79018,hartley,35.705781,-102.343869,167207,-666666666,0,1.5,58.3,2.44,0,0,0,0,low,WestTexas,0
79019,armstrong,34.979959,-101.388558,221068,69423,0,-3.1,84.0,5.13,28.75,0,0,0,mid,WestTexas,0
79022,dallam,36.098125,-102.60691,186735,78373,0,0.9,72.1,5.4,31.45,0,0,0,mid,WestTexas,0
79027,castro,34.497573,-102.337979,126213,66528,0,1.5,67.3,-11.85,-21.3,0,0,0,low,WestTexas,0
79029,moore,35.901966,-102.025897,188483,63188,0,-1.7,60.9,9.2,21.7,0,0,0,mid,WestTexas,0
79031,lamb,34.244322,-102.449905,85900,46384,0,-4.0,80.4,-4.96,-7.97,0,0,0,low,WestTexas,0
79034,lipscomb,36.380058,-100.164764,104394,84821,0,-8.2,82.9,-15.58,0,0,0,0,low,WestTexas,0
79035,parmer,34.68165,-102.781898,158990,74773,0,-1.5,71.7,11.65,24.5,0,0,0,low,WestTexas,0
79036,hutchinson,35.59276,-101.544363,153725,74815,0,-3.7,92.1,1.75,15.27,0,0,0,low,WestTexas,0
79039,carson,35.239266,-101.132823,135814,83068,0,-1.3,83.1,-9.88,0,0,0,0,low,WestTexas,0
79040,hansford,36.29648,-101.58718,187794,80625,0,-8.6,75.5,5.63,0,0,0,0,mid,WestTexas,0
79041,hale,34.043255,-101.931966,103860,58305,0,-3.9,83.0,-13.4,-19.14,0,0,0,low,WestTexas,0
79042,swisher,34.741342,-101.893567,169451,69219,0,7.1,81.8,3.51,12.01,0,0,0,low,WestTexas,0
79045,deaf smith,34.899855,-102.514844,168180,54207,0,-0.8,65.9,-1.61,21.75,0,0,0,low,WestTexas,0
79052,swisher,34.358439,-101.764658,113452,60294,0,-8.0,71.8,-1.33,10.38,0,0,0,low,WestTexas,0
79064,lamb,34.180943,-102.119262,106621,57841,0,-7.6,70.1,-8.79,5.58,0,0,0,low,WestTexas,0
79065,gray,35.518201,-100.899537,101837,55940,0,0.1,73.3,-3.68,9.72,0,0,0,low,WestTexas,0
79068,carson,35.3285,-101.444138,197387,86604,0,-4.4,74.9,3.6,21.63,0,0,0,mid,WestTexas,0
79070,ochiltree,36.236595,-100.786511,120720,64988,0,-0.4,68.4,7.12,-14.11,0,0,0,low,WestTexas,0
79072,hale,34.171907,-101.744828,113357,50766,825,-0.6,55.0,-1.84,4.79,11.45,0,0,low,WestTexas,0
79079,wheeler,35.206557,-100.248529,72890,68081,0,-0.1,80.4,-12.35,-33.41,0,0,0,low,WestTexas,0
79080,carson,35.701544,-101.212706,66343,54286,0,14.0,79.9,-3.87,0,0,0,0,low,WestTexas,0
79081,hansford,36.218996,-101.204732,127645,67474,0,-1.0,74.2,0.02,-5.52,0,0,0,low,WestTexas,0
79083,hutchinson,35.869815,-101.512425,130820,58125,0,3.6,80.8,-3.8,4.62,0,0,0,low,WestTexas,0
79084,sherman,36.259687,-102.02658,163563,61250,0,1.6,81.6,6.4,0,0,0,0,low,WestTexas,0
79086,moore,36.125218,-101.784188,140979,68472,0,0.4,78.8,11.56,7.61,0,0,0,low,WestTexas,0
79088,swisher,34.575464,-101.691958,84711,33958,0,-0.7,60.9,-9.66,-6.67,0,0,0,low,WestTexas,0
79095,collingsworth,34.884163,-100.196165,82984,53313,0,-6.1,73.6,-8.19,-19.59,0,0,0,low,WestTexas,0
79096,wheeler,35.458033,-100.199727,111457,70282,0,1.0,76.3,9.32,0,0,0,0,low,WestTexas,0
79097,carson,35.430575,-101.173894,147299,86800,0,24.1,78.3,-0.76,0,0,0,0,low,WestTexas,0
79098,oldham,35.152354,-102.215756,303074,38580,0,18.9,81.6,3.7,0,0,0,0,mid,WestTexas,0
79101,potter,35.206114,-101.839403,106996,40313,0,-1.6,12.5,-3.12,27.25,0,0,0,low,WestTexas,0
79102,potter,35.201263,-101.849182,150834,48551,0,0.2,53.8,1.77,28.82,0,0,0,low,WestTexas,0
79103,potter,35.18215,-101.800373,150692,55885,0,5.7,66.1,3.47,39.79,0,0,0,low,WestTexas,0
79104,potter,35.201147,-101.789954,112538,47768,0,15.7,53.6,5.89,43.29,0,0,0,low,WestTexas,0
79106,potter,35.203051,-101.891662,161872,54407,933,-0.3,50.3,1.52,33.13,14.46,0,0,low,WestTexas,0
79107,potter,35.231518,-101.794258,108581,39474,1061,-5.2,54.7,1.97,41.32,8.53,0,0,low,WestTexas,0
79108,potter,35.301258,-101.675725,196862,63383,0,-1.6,76.6,2.13,34.05,0,0,0,mid,WestTexas,0
79109,randall,35.166416,-101.886423,229203,68579,1258,-0.6,60.0,1.75,31.05,15.18,0,0,mid,WestTexas,0
79110,randall,35.150993,-101.869766,166028,65896,1335,-1.8,69.8,1.69,34.8,10.36,0,0,low,WestTexas,0
79118,randall,35.106367,-101.739911,254083,87011,1728,1.8,78.2,1.15,29.1,12.25,0,0,mid,WestTexas,0
79119,randall,35.109084,-102.017887,380329,100546,1665,3.7,64.7,1.26,29.29,19.04,0,0,mid,WestTexas,0
79121,randall,35.174461,-101.929219,292555,66438,0,3.2,74.4,1.58,29.05,0,0,0,mid,WestTexas,0
79124,potter,35.259324,-102.047444,373436,110144,0,5.3,88.4,2.46,31.58,0,0,0,mid,WestTexas,0
79201,childress,34.404718,-100.341146,120198,60125,0,0.3,64.1,12.47,12.17,0,0,0,low,WestTexas,0
79226,donley,34.918336,-100.997087,119378,54787,0,5.9,70.8,6.22,0,0,0,0,low,WestTexas,0
79227,foard,33.871603,-99.747306,69577,42895,0,2.7,66.5,-22.02,0,0,0,0,low,WestTexas,0
79235,floyd,33.942142,-101.26349,77558,53085,0,-1.3,68.9,-14.4,-35.29,0,0,0,low,WestTexas,0
79241,floyd,34.179633,-101.387813,111597,60101,0,-2.3,85.2,-2.84,0,0,0,0,low,WestTexas,0
79245,hall,34.680965,-100.476496,69916,46667,0,2.9,75.0,13.33,-10.82,0,0,0,low,WestTexas,0
79248,cottle,33.943094,-100.22369,70991,38359,0,-26.1,76.2,41.92,0,0,0,0,low,WestTexas,0
79250,hale,33.894281,-101.598542,98878,44042,0,-4.1,68.4,-6.3,0,0,0,0,low,WestTexas,0
79311,hale,33.857882,-101.881538,167093,69250,0,-4.6,78.5,3.34,16.3,0,0,0,low,WestTexas,0
79312,lamb,34.022954,-102.307259,87780,56339,0,-5.3,72.5,0.44,-10.61,0,0,0,low,WestTexas,0
79313,hockley,33.81256,-102.160919,137447,50417,0,5.9,72.7,8.58,0,0,0,0,low,WestTexas,0
79316,terry,33.134142,-102.3048,120229,43865,0,-2.0,64.5,-3.39,-23.0,0,0,0,low,WestTexas,0
79322,crosby,33.661255,-101.209231,74977,48750,0,3.6,60.7,-0.38,-15.16,0,0,0,low,WestTexas,0
79323,yoakum,32.933054,-102.904556,190192,82253,0,-2.2,71.5,-4.84,-3.28,0,0,0,mid,WestTexas,0
79325,parmer,34.414294,-102.934273,181200,62415,0,-7.2,66.9,1.37,13.1,0,0,0,mid,WestTexas,0
79329,lubbock,33.716447,-101.691654,245192,74150,0,7.4,76.7,5.45,29.28,0,0,0,mid,WestTexas,0
79331,dawson,32.671095,-101.972672,109274,56179,0,1.1,69.5,9.12,-9.95,0,0,0,low,WestTexas,0
79336,hockley,33.59973,-102.40023,159194,52724,0,-1.4,71.3,1.29,8.03,0,0,0,low,WestTexas,0
79339,lamb,33.886628,-102.354854,102862,57035,0,0.0,69.6,-9.15,5.4,0,0,0,low,WestTexas,0
79343,crosby,33.645727,-101.552578,104502,67596,0,-9.3,81.6,2.89,0.27,0,0,0,low,WestTexas,0
79345,terry,33.337542,-102.33135,157299,66583,0,2.5,63.3,-10.63,0,0,0,0,low,WestTexas,0
79346,cochran,33.645304,-102.825853,47228,41767,0,-0.1,62.5,-29.69,0,0,0,0,low,WestTexas,0
79347,bailey,34.18618,-102.797922,131072,71025,0,1.1,77.0,-10.92,7.6,0,0,0,low,WestTexas,0
